queda cerca de una tienda departamental,ubicacion
justo a un lado del transporte publico,ubicacion
El metro queda cerca,ubicacion
Esta a 5 minutos caminando del centro,ubicacion
No tiene vias de accesibilidad,ubicacion
No es tan accesible a pie,ubicacion
Accesible a pie,ubicacion
Es posible llegar en coche,ubicacion
Es posible llegar en transporte publico,ubicacion
"Ubicacion excelente, inmejorable",ubicacion
No esta tan lejos de tiendas,ubicacion
Es facil encontrar una tienda departamental cerca,ubicacion
Tiene un centro comercial cerca,ubicacion
Hay un Oxxo en la esquina,ubicacion
el servicio es excelente,servicio
los banos estan limpios,servicio
la alacena tenia cafe,servicio
"Habia un garrafon de agua en la cocina, excelente",servicio
Muy amable el personal,servicio
El desayuno incluido esta riquisimo,servicio
Siempre hay agua caliente,servicio
La logistica interna es buenisima,servicio
El shampoo incluido es bastante bueno,servicio
La television es de buen tamano,servicio
Lavan las toallas gratis!,servicio
Lavan la ropa gratis!,servicio
